speed,power,Thrust Coeffient,yo,ct
0,0,0,0,0
0.5,0,0,0,0
1,0,0,0,0
1.5,0,0,0,0
2,0,0,0,0
2.5,0,0.883385477,0,0.883385477
3,0.125,0.88888888,125,0.88888888
3.5,0.19849537,0.88888888,198.4953704,0.88888888
4,0.296296296,0.88888888,296.2962963,0.88888888
4.5,0.421875,0.88888888,421.875,0.88888888
5,0.578703704,0.88888888,578.7037037,0.88888888
5.5,0.77025463,0.88888888,770.2546296,0.88888888
6,1,0.88888888,1000,0.88888888
6.5,1.271412037,0.88888888,1271.412037,0.88888888
7,1.587962963,0.88888888,1587.962963,0.88888888
7.5,1.953125,0.88888888,1953.125,0.88888888
8,2.37037037,0.88888888,2370.37037,0.88888888
8.5,2.843171296,0.88888888,2843.171296,0.88888888
9,3.375,0.88888888,3375,0.88888888
9.5,3.969328704,0.88888888,3969.328704,0.88888888
10,4.62962963,0.88888888,4629.62963,0.88888888
10.5,5.359375,0.88888888,5359.375,0.88888888
11,6.162037037,0.88888888,6162.037037,0.88888888
11.5,7.041087963,0.88888888,7041.087963,0.88888888
12,8,0.88888888,8000,0.88888888
12.5,8,0.663687317,8000,0.663687317
13,8,0.560578954,8000,0.560578954
13.5,8,0.484522117,8000,0.484522117
14,8,0.424380115,8000,0.424380115
14.5,8,0.375202627,8000,0.375202627
15,8,0.334149779,8000,0.334149779
15.5,8,0.299376728,8000,0.299376728
16,8,0.269594436,8000,0.269594436
16.5,8,0.243858434,8000,0.243858434
17,8,0.221453287,8000,0.221453287
17.5,8,0.201823519,8000,0.201823519
18,8,0.184529533,8000,0.184529533
18.5,8,0.16921807,8000,0.16921807
19,8,0.155601652,8000,0.155601652
19.5,8,0.14344383,8000,0.14344383
20,8,0.13254834,8000,0.13254834
20.5,8,0.122750964,8000,0.122750964
21,8,0.113913329,8000,0.113913329
21.5,8,0.105918094,8000,0.105918094
22,8,0.098665188,8000,0.098665188
22.5,8,0.092068819,8000,0.092068819
23,8,0.086055089,8000,0.086055089
23.5,8,0.080560063,8000,0.080560063
24,8,0.075528197,8000,0.075528197
24.5,8,0.070911058,8000,0.070911058
25,0,0,0,0
25.5,0,0,0,0
26,0,0,0,0
